Name,Type,Karma,Executions,Id,Reservations,Images,Samples
User1,Good,46,1,1,1,0,1
User2,Good,48,10,2,1,0,10
User3,Bad,41,3,3,2,7,3
User4,Good,50,3,4,6,8,3
User5,Good,48,2,5,3,0,2
User6,Good,45,5,6,2,0,5
User7,Good,50,3,7,3,6,3
User8,Good,48,12,8,3,0,12
User9,Bad,34,9,9,3,0,9
User10,Good,45,1,10,1,0,1
User11,Good,49,2,11,1,0,2
User12,Good,62,46,12,25,64,46
User13,Bad,17,5,13,4,0,5
User14,Good,47,48,14,1,0,48
User15,Good,46,4,15,1,0,4
User16,Bad,38,4,16,4,0,4
User17,Good,47,8,17,1,0,8
User18,Good,46,1,18,1,0,1
User19,Good,51,14,19,6,8,14
User20,Good,56,2,20,24,13,2
User21,Good,59,5,21,25,101,5
User22,Good,66,53,22,765,1087,53
User23,Good,45,1,23,1,0,1
User24,Good,54,4,24,20,4,4
User25,Good,58,3,25,563,336,3
User26,Good,51,54,26,2,0,54
User27,Bad,42,1,27,1,0,1
User28,Good,47,5,28,2,0,5
User29,Good,51,3,29,9,15,3
User30,Bad,40,3,30,1,0,3
User31,Good,46,2,31,1,0,2
User32,Good,57,1,32,21,18,1
User33,Good,64,8,33,39,121,8
User34,Good,50,2,34,51,49,2
User35,Good,45,2,35,1,0,2
User36,Good,48,9,36,3,0,9
User37,Bad,31,2,37,1,0,2
User38,Good,54,11,38,8,8,11
User39,Good,57,2,39,24,74,2
User40,Good,49,16,40,2,0,16
User41,Good,47,1,41,1,0,1
User42,Good,49,1,42,5,4,1
User43,Good,45,8,43,3,0,8
User44,Good,51,10,44,3,0,10
User45,Good,47,2,45,2,0,2
User46,Good,48,12,46,3,0,12
User47,Good,58,2,47,14,57,2
User48,Good,57,4,48,21,23,4
User49,Good,59,17,49,26,4,17
User50,Bad,36,7,50,2,0,7
User51,Good,48,11,51,2,0,11
User52,Good,47,1,52,2,0,1
User53,Good,54,5,53,15,100,5
User54,Good,61,5,54,36,58,5
User55,Bad,30,1,55,1,0,1
User56,Good,47,2,56,3,0,2
User57,Good,49,1,57,7,17,1
User58,Bad,26,7,58,20,57,7
User59,Good,48,6,59,3,0,6
User60,Good,55,3,60,14,17,3
User61,Good,47,8,61,12,30,8
User62,Good,52,1,62,9,9,1
User63,Good,46,2,63,1,0,2
User64,Good,53,3,64,8,17,3
User65,Good,46,9,65,3,0,9
User66,Good,49,15,66,3,0,15
User67,Good,50,3,67,5,14,3
User68,Bad,34,7,68,1,0,7
User69,Good,51,2,69,14,42,1
User70,Good,62,28,70,49,44,28
User71,Good,48,1,71,3,0,1
User72,Good,50,1,72,19,24,1
User73,Good,49,2,73,4,7,2
User74,Good,50,1,74,4,0,1
User75,Good,59,10,75,18,61,10
User76,Bad,41,9,76,5,0,9
User77,Bad,34,4,77,2,0,4
User78,Bad,19,1,78,1,0,1
User79,Good,50,18,79,4,5,18
User80,Good,46,4,80,2,0,4
User81,Bad,21,2,81,2,0,2
User82,Bad,42,1,82,19,64,1
User83,Good,47,1,83,1,0,1
User84,Good,61,6,84,25,98,6
User85,Good,46,2,85,1,0,2
User86,Good,45,4,86,1,0,4
User87,Good,60,8,87,32,14,8
User88,Good,62,8,88,52,50,8
User89,Good,51,5,89,5,6,5
User90,Good,45,1,90,1,0,1
User91,Bad,17,4,91,2,0,4
User92,Good,49,8,92,3,0,8
User93,Good,46,1,93,2,0,1
User94,Bad,42,2,94,2,15,2
User95,Bad,26,2,95,2,0,2
User96,Good,47,4,96,1,0,4
User97,Bad,44,1,97,1,0,1
User98,Good,59,161,98,2,0,161
User99,Good,47,5,99,2,0,5
User100,Good,49,21,100,2,0,21
User101,Good,46,2,101,2,0,2
User102,Good,52,57,102,2,0,57
User103,Bad,43,3,103,3,0,3
User104,Good,48,2,104,1,0,2
User105,Good,52,5,105,8,2,5
User106,Good,49,1,106,6,24,1
User107,Good,57,1,107,21,18,1
User108,Good,47,18,108,2,0,18
User109,Bad,35,1,109,2,0,1
User110,Good,58,61,110,17,4,61
User111,Good,48,5,111,3,0,5
User112,Good,46,69,112,9,37,6
User113,Bad,31,1,113,1,0,1
User114,Bad,30,6,114,32,8,6
User115,Good,46,1,115,1,0,1
User116,Good,47,4,116,5,1,4
User117,Good,45,1,117,1,0,1
User118,Good,46,8,118,3,0,8
User119,Good,46,4,119,1,0,4
User120,Good,47,1,120,3,0,1
User121,Bad,44,9,121,2,0,9
User122,Good,45,4,122,1,0,4
User123,Good,71,104,123,72,184,104
User124,Good,48,21,124,5,4,21
User125,Good,46,1,125,1,0,1
User126,Good,45,2,126,1,0,2
User127,Good,55,8,127,8,47,8
User128,Good,46,2,128,1,0,2
User129,Good,80,345,129,187,295,345
User130,Good,48,7,130,3,0,7
User131,Good,46,69,131,9,37,63
User132,Good,47,2,132,3,0,2
User133,Good,45,1,133,13,2,1
User134,Good,46,1,134,1,0,1
User135,Bad,40,1,135,4,0,1
User136,Good,51,1,136,9,5,1
User137,Good,47,4,137,3,0,4
User138,Bad,33,4,138,1,0,4
User139,Good,55,105,139,11,12,105
User140,Good,49,2,140,8,0,2
User141,Bad,39,1,141,6,8,1
User142,Bad,30,1,142,1,0,1
User143,Bad,30,1,143,3,0,1
User144,Good,54,4,144,11,7,4
User145,Good,47,2,145,4,0,2
User146,Good,51,2,146,14,42,1
User147,Bad,41,3,147,5,0,3
User148,Good,47,5,148,2,0,5
User149,Bad,28,9,149,1,0,9
User150,Good,48,12,150,2,6,12
User151,Bad,30,18,151,3,13,18
User152,Bad,27,8,152,1,0,8
User153,Good,46,1,153,2,0,1
User154,Bad,15,4,154,304,292,4
User155,Bad,44,14,155,1,0,14
User156,Good,55,6,156,16,4,6
User157,Good,46,1,157,3,3,1
User158,Good,52,4,158,5,26,4
User159,Good,48,2,159,5,0,2
User160,Good,46,1,160,2,0,1
User161,Good,50,1,161,5,13,1
User162,Bad,19,1,162,2,0,1
User163,Good,49,11,163,2,0,11
User164,Bad,25,2,164,10,22,2
User165,Good,49,16,165,3,0,16
User166,Good,48,8,166,6,16,8
User167,Good,60,23,167,730,495,23
User168,Good,52,4,168,8,1,4
User169,Good,65,1,169,56,131,1
User170,Good,46,2,170,1,0,2
User171,Good,52,5,171,7,5,5
User172,Good,52,1,172,11,9,1
User173,Good,49,21,173,8,0,21
User174,Good,48,4,174,3,0,4
User175,Bad,44,5,175,1,0,5
User176,Good,46,4,176,2,0,4
User177,Good,46,1,177,1,0,1
User178,Good,62,33,178,33,114,33
User179,Bad,41,5,179,5,40,5
User180,Good,47,1,180,2,0,1
User181,Good,69,2,181,37,411,2
User182,Bad,41,1,182,1,0,1
User183,Good,54,5,183,13,21,5
User184,Good,59,17,184,25,23,17
User185,Good,49,10,185,1,0,10
User186,Good,47,7,186,3,0,7
User187,Good,46,6,187,1,0,6
User188,Good,47,2,188,1,0,2
User189,Good,45,1,189,1,0,1
User190,Good,62,1,190,21,195,1
User191,Good,46,1,191,1,0,1
User192,Bad,42,3,192,1,0,3
User193,Good,56,26,193,13,17,26
